Date,Day,ID2,Followers,Friends,Status_Count,Time_zone,Geo_enabled,Language
1,24,2766625288,334,1013,869,0,0,1
2,25,1408663536,1571,3055,64028,8,0,1
2,25,302471426,1478,3058,69901,8,0,1
2,25,3245779878,20,71,5225,0,0,1
2,25,1610425526,435,256,13832,8,0,1
2,25,3245779878,20,71,5293,0,0,1
2,25,1538372454,600,1,108077,0,0,1
2,25,2766625288,335,1012,871,0,0,1
2,25,2766625288,335,1012,872,0,0,1
2,25,564032289,3785,40,771549,2,0,1
2,25,1165598004,134,103,309,3,0,1
2,25,1533309918,233,5,61287,3,0,1
2,25,7.12391E+17,225,210,2477,0,0,1
2,25,2809903213,19524,1120,525,0,1,1
2,25,2766625288,334,1012,873,0,0,1
2,25,2766625288,334,1012,874,0,0,1
2,25,4633027717,786,1975,2323,0,0,1
2,25,4633027717,786,1976,2343,0,0,1
2,25,4633027717,786,1976,2357,0,0,1
2,25,4693973070,2541,2342,406,0,1,1
2,25,749592176,996,2213,24673,2,0,1
2,25,526299077,4951,11,4478,3,0,1
2,25,3361808338,735,0,319984,8,0,1
2,25,2766625288,334,1012,876,0,0,1
2,25,1495590236,206,373,4038,3,1,1
3,26,430227604,178,264,5213,6,1,1
3,26,893215171,359,2222,1037,2,1,1
3,26,2292390440,63,244,493,8,0,1
3,26,700568400,26337,10,5447,3,1,1
3,26,2759183671,3,93,6669,0,0,1
3,26,2929801308,311,1321,22004,3,0,1
3,26,2997116183,2,76,490,2,1,1
3,26,1571119603,122,119,13453,0,1,1
3,26,7.234E+17,3,4,936,0,0,1
3,26,2901229674,21,30,2162,0,0,1
3,26,2374917908,161,901,1614,0,0,1
3,26,2591101482,149,280,1851,3,0,1
3,26,2438795420,2,10,8505,0,0,1
3,26,2766625288,337,1013,881,0,0,1
3,26,2766625288,337,1013,881,0,0,1
3,26,7.23506E+17,4,91,88,0,1,1
3,26,2766625288,338,1013,883,0,0,1
3,26,1533309918,235,5,61340,3,0,1
4,27,4913950025,4956,4729,11214,0,0,1
4,27,2567261851,351,827,53134,0,1,1
4,27,3502268293,15,15,128,0,0,1
4,27,2929801308,316,1321,22220,3,0,1
4,27,2901229674,21,30,2183,0,0,1
4,27,289660350,140,429,5908,1,1,1
4,27,465926719,8070,8,25077,3,0,1
4,27,540663080,478,458,1412,0,1,1
4,27,7.01711E+17,5,42,104,0,0,2
2,25,2276632200,1570,3631,107790,8,0,3
2,25,2283828133,71,126,8182,0,0,3
2,25,110394456,12609,388,10234,1,1,3
2,25,462442770,896,2546,7358,1,0,3
2,25,1219229701,634,900,8028,1,0,3
2,25,747714121,323,885,29283,1,1,3
2,25,88385100,351,511,8424,1,1,3
2,25,12723412,112079,988,130074,1,0,3
2,25,261680679,1290,616,36768,10,1,3
2,25,871764986,11393,5688,55332,8,1,3
2,25,364476368,1933,1440,34673,1,1,3
2,25,3823392983,1528,4431,29187,1,0,3
2,25,3173390147,272,187,1111,0,0,3
2,25,475007892,94,242,705,1,0,3
2,25,296894260,1668,1323,37796,4,1,3
2,25,7.22522E+17,16,85,39,0,0,3
2,25,3374563353,18671,277,17098,1,0,3
2,25,2494215493,2667,3988,44275,1,0,3
2,25,72701625,1847,2808,133515,1,1,3
2,25,506385155,84,72,6286,0,1,3
3,26,532454353,241,358,614,0,1,3
3,26,3672597797,597,588,541,0,0,3
4,27,1205744918,356,489,9068,1,1,3
4,27,215939224,5469,1299,8378,1,1,3
1,24,4333068928,246,1385,50,8,0,4
2,25,176894911,782,330,5144,2,1,4
2,25,283501843,4488,1022,1917527,1,0,4
2,25,283501843,4488,1022,1917535,1,0,4
2,25,3042388781,5880,177,11970,1,0,4
2,25,1097718740,869,854,9635,1,1,4
2,25,7.07673E+17,11,49,568,0,0,4
2,25,4297751847,744,200,7610,0,0,4
2,25,2635445383,74,112,6457,1,0,4
3,26,1978165356,1105,997,94647,0,0,4
3,26,283501843,4487,1022,1917815,1,0,4
3,26,2312644219,87,317,24612,1,0,4
3,26,2596018292,1,84,24230,0,0,4
3,26,283501843,4487,1022,1917840,1,0,4
3,26,283501843,4487,1022,1917869,1,0,4
3,26,3438020098,442,1488,1143,0,0,4
3,26,399349299,294,474,9075,1,1,4
4,27,2363099190,225,583,625,1,1,4
4,27,3412131129,195,37,55,0,0,4
4,27,1066239408,28,85,7135,0,0,4
