Language,Sunday,Monday,Tuesday,Wednesday
ar,1,24,18,8
bg,,,,1
Bogota,,1,,
Brasilia,,,1,2
ca,,20,2,2
Caracas,,1,,
Central America,,4,1,
Central Time (US & Canada),,2,1,
contributors_enabled,6,9,5,7
cs,1,8,8,3
da,3,14,1,3
de,14,213,94,43
el,1,7,9,11
en,1164,14811,10955,6287
en-gb,27,516,195,107
en-IN,,1,,
es,537,5650,5103,2310
es-MX,,3,2,
fa,,,4,7
fi,1,8,12,4
fil,,1,2,
fr,28,1033,264,283
geo_enabled,17,110,72,22
gl,,1,1,
he,1,1,1,1
hr,,,1,1
hu,,4,1,2
id,1,74,52,30
it,8,97,57,34
ja,1,118,33,47
ko,5,27,6,7
lang,28,412,353,153
lv,6,4,5,3
Mid-Atlantic,,,,1
msa,,,1,2
nb,,,2,
nl,6,125,58,28
no,1,4,5,13
null,,4,2,4
Pacific Time (US & Canada),,1,2,
pl,1,14,5,5
pt,920,5014,3839,2500
pt-PT,,,2,1
Quito,,,,1
ro,1,8,10,3
ru,6,86,143,92
sk,,,1,1
sr,4,,2,1
statuses_count,1,,,
sv,3,6,7,2
th,,,45,15
time_zone,,,1,2
tr,4,84,62,33
uk,,2,4,1
utc_offset,,1,1,
vi,1,4,12,5
xx-lc,,1,1,
zh-cn,1,3,2,2
zh-tw,,4,18,12
FALSE,11,188,156,37
TRUE,3,120,34,21
(blank),,,,
Grand Total,2813,28843,21674,12160
